ID_Calicata;Longitud;Latitud;Ubicación Político-AdministrativaProvincia;Cantón ;Distrito;Fecha;Núm. Horizonte;Horizonte;cmProf. Inicial;Prof. Final;Espesor;pH en H2O;cmol(+)/LAcidez;Ca;Mg;K;Suma de bases;CICE;CICE / kg arcilla;%SA;mg/LP;Zn;Cu;Fe;Mn;%MO;CO;Acetato de Amonio cmol(+)/kgCa Acetato;Mg Acetato;K Acetato;Na Acetato;Suma de bases;cmol(+)/kgCIC;CIC / kg arcilla;%SB;pHNaF;pHKCl;Delta pH;%Retención P;Al oxalato;Fe Oxalato;Aluminio + Hierro / 2 (%);dS/mConductividad Eléctrica ;% Areana;Limo;Arcilla;Clase Textural;Granulometría de la fracción gruesa (%)  1 mm;0,5 mm;0,25 mm;0,125 mm;0,063 mm;gr/cm3Densidad Aparente;Densidad Particulas;% Poros;kPaRet. humedad (33);Ret. humedad (150);%Agua Util;cm/hConductividad hidraúlica;N/cm2Resistencia a la penetración;COLE;Provincia fisiográfica;Material Parental;Clima Edáfico;Zona de Vida;Relieve; %Gradiente;msnmAltitud;Dirección de la pendiente;Orientación;Vegetación;Fertilidad;Drenaje;Profundidad de la tabla de aguaCategoría;Profundidad (cm);Ped / Roca SuperficialCategoría;%;Erosión;Color de la MatrizEn Húmedo;En Seco;Color acompañante;EstructuraTipo;Grado;Clase;ConsistenciaR.R. En Seco;R.R. En Húmedo;Plasticidad;Adhesividad;PorosidadMuy Gruesos;Gruesos;Medios;Finos;Muy Finos;RaícesMuy Gruesas;Gruesas;Medias;Finas;Muy Finas;Nitidez;Topografía;Biomasa MicrobianaBiomasa Microbiana ;Respiración (mg C-CO2);Formaciones especiales;Clasificación taxonómica USDAOrden;Suborden;Gran grupo;Sub grupo;Familia;Autor;Categoría;Nombre de la finca o localidad;Observaciones
1;-83.947702;9.719864;Cartago;El_Guarco;San Isidro;1976;1;O;0;15;15;5.50;;10.20;3.70;2.60;16.50;16.50;117.69;;;;;;;32.98;23.06;;;;;;;;;;4.70;-0.80;;;;;;12.5 ;73.5 ;14.0 ;Franco Limoso;;;;;;0.15;1.78;91.57;;;;;;;Cordillera de Talamanca;Rocas volcánicas, Coladas de lava, Tobas y Brechas del Terciario;Ústico;Bosque Muy Humedo Montano Bajo;Moderamente ondulado;11;2317;312;Oestenoroeste;;Alta;;;;;;;7,5 YR 2/0;;;;;;;;;;;;;;;;;;;;Difuso;Ondulado;;;;Andisols;Ustands;Haplustands;Lithic Haplustands;;Enrique C (1976);;;
1;-83.947702;9.719864;Cartago;El Guarco;San Isidro;1976;2;AC;15;17;2;5.80;;9.00;1.80;1.40;12.20;12.20;73.41;;;;;;;3.69;2.58;;;;;;;;;;4.80;-1.00;;;;;;15.3 ;68.1 ;16.6 ;Franco Limoso;;;;;;;2.14;;;;;;;;Cordillera de Talamanca;Rocas volcánicas, Coladas de lava, Tobas y Brechas del Terciario;Ústico;Bosque Muy Humedo Montano Bajo;Moderamente ondulado;11;2317;312;Oestenoroeste;;Alta;;;;;;;10 YR 1/3;;;Masiva;;;;;No plástico;No adhesivo;;;;;;;;;;;Difuso;Ondulado;;;;Andisols;Ustands;Haplustands;Lithic Haplustands;;Enrique C (1976);;;
1;-83.947702;9.719864;Cartago;El Guarco;San Isidro;1976;3;AC;17;19;2;5.70;;9.40;2.10;1.90;13.40;13.40;73.26;;;;;;;1.35;0.95;;;;;;;;;;4.80;-0.90;;;;;;24.0 ;57.1 ;18.3 ;Franco Limoso;;;;;;;2.17;;;;;;;;Cordillera de Talamanca;Rocas volcánicas, Coladas de lava, Tobas y Brechas del Terciario;Ústico;Bosque Muy Humedo Montano Bajo;Moderamente ondulado;11;2317;312;Oestenoroeste;;Alta;;;;;;;10 YR 2/1;;;Masiva;Débil;Fina;;;No plástico;No adhesivo;;;;;;;;;;;Claro;Plano;;;;Andisols;Ustands;Haplustands;Lithic Haplustands;;Enrique C (1976);;;
1;-83.947702;9.719864;Cartago;El Guarco;San Isidro;1976;4;Ab;19;50;31;5.20;;9.40;4.20;0.30;13.90;13.90;25.73;;;;;;;10.96;7.66;;;;;;;;;;4.20;-1.00;;;;;;37.0 ;9.0 ;54.0 ;Arcilloso;;;;;;;2.20;;;;;;;;Cordillera de Talamanca;Rocas volcánicas, Coladas de lava, Tobas y Brechas del Terciario;Ústico;Bosque Muy Humedo Montano Bajo;Moderamente ondulado;11;2317;312;Oestenoroeste;;Alta;;;;;;;5 YR 3/1;;;Bloques angulares;Moderada;Media;;;No plástico;No adhesivo;;;;;;;;;;;;;;;;Andisols;Ustands;Haplustands;Lithic Haplustands;;Enrique C (1976);;;
1;-83.947702;9.719864;Cartago;El Guarco;San Isidro;1976;5;R;50;60;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cordillera de Talamanca;Rocas volcánicas, Coladas de lava, Tobas y Brechas del Terciario;Ústico;Bosque Muy Humedo Montano Bajo;Moderamente ondulado;11;2317;312;Oestenoroeste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Andisols;Ustands;Haplustands;Lithic Haplustands;;Enrique C (1976);;;
2;-83.932557;9.697469;San José;Dota;Jardin;1976;1;Oe;0;8;8;4.70;;4.00;2.00;1.40;7.40;7.40;48.52;;;;;;;31.75;22.20;;;;;;;;;;4.80;0.10;;;;;;20.8 ;63.9 ;15.3 ;Franco Limoso;;;;;;0.22;1.78;87.64;;;;;;;Cordillera de Talamanca;Rocas volcánicas, Coladas de lava, Tobas y Brechas del Terciario;Ústico;Bosque Muy Humedo Montano Bajo;Moderamente ondulado;11;2466;4;Norte;;Media;;;;;;;5 YR 3/1;;;;;;;;;;;;;;;;;;;;Claro;Ondulado;;;;Histosols;Folists;Udifolists;Lithic Udifolists;;Enrique C (1976);;;
3;-83.90313;9.690336;Cartago;El Guarco;San Isidro;1976;1;Oi;0;15;15;4.40;;8.80;2.20;1.10;12.10;12.10;94.09;;;;;;;47.12;32.95;;;;;;;;;;3.40;-1.00;;;;;;13.2 ;74.0 ;12.9 ;Franco Limoso;;;;;;0.20;1.49;86.58;;;;;;;Cordillera de Talamanca;Rocas volcánicas, Coladas de lava, Tobas y Brechas del Terciario;Ústico;Bosque Muy Humedo Montano Bajo;Plano o casi plano;3;2502;86;Estenoreste;;Alta;;;;;;;;;;;;;;;;;;;;;;;;;;;Difuso;Plano;;;;Histosols;Folists;Udifolists;Lithic Udifolists;;Enrique C (1976);;;
3;-83.90313;9.690336;Cartago;El Guarco;San Isidro;1976;2;Oa;15;30;15;4.40;;4.40;1.20;0.70;6.30;6.30;24.63;;;;;;;25.71;17.98;;;;;;; ;;;3.60;-0.80;;;;;;11.6 ;62.8 ;25.6 ;Franco Limoso;;;;;;0.31;1.82;82.97;;;;;;;Cordillera de Talamanca;Rocas volcánicas, Coladas de lava, Tobas y Brechas del Terciario;Ústico;Bosque Muy Humedo Montano Bajo;Plano o casi plano;3;2502;86;Estenoreste;;Media;;;;;;;;;;;;;;;;;;;;;;;;;;;Claro;Ondulado;;;;Histosols;Folists;Udifolists;Lithic Udifolists;;Enrique C (1976);;;
3;-83.90313;9.690336;Cartago;El Guarco;San Isidro;1976;3;R;30;40;10;;;;;;;;;;;;;;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cordillera de Talamanca;Rocas volcánicas, Coladas de lava, Tobas y Brechas del Terciario;Ústico;Bosque Muy Humedo Montano Bajo;Plano o casi plano;3;2502;86;Estenoreste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Histosols;Folists;Udifolists;Lithic Udifolists;;Enrique C (1976);;;
4;-83.876716;9.669312;Cartago;El Guarco;San Isidro;1976;1;O;0;5;5;4.40;;8.10;1.20;1.80;11.10;11.10;66.03;;;;;;;32.87;22.99;;;;;;; ;;;3.60;-0.80;;;;;;6.6 ;76.6 ;16.8 ;Franco Limoso;;;;;;0.26;1.68;84.52;;;;;;;Cordillera de Talamanca;Rocas volcánicas, Coladas de lava, Tobas y Brechas del Terciario;Ústico;Bosque Muy Humedo Montano Bajo;Ondulado;23;2530;335;Nornoroeste;;Alta;;;;;;;10 YR 2/2;;;;;;;;;;;;;;;;;;;;Difuso;Ondulado;;;;Andisols;Ustands;Haplustands;Lithic Haplustands;;Enrique C (1976);;;
